Date,AAPL
2023-06-23,184.09906005859375
2023-06-26,182.70858764648438
2023-06-27,185.4600067138672
2023-06-28,186.63356018066406
2023-06-29,186.96885681152344
2023-06-30,191.2882843017578
2023-07-03,189.79917907714844
2023-07-05,188.68479919433594
2023-07-06,189.15817260742188
2023-07-07,188.04376220703125
2023-07-10,186.00238037109375
2023-07-11,185.479736328125
2023-07-12,187.1463623046875
2023-07-13,187.9056854248047
2023-07-14,188.0536346435547
2023-07-17,191.3080291748047
2023-07-18,191.0515594482422
2023-07-19,192.40267944335938
2023-07-20,190.4599151611328
2023-07-21,189.28636169433594
2023-07-24,190.0851593017578
2023-07-25,190.943115234375
2023-07-26,191.81094360351562
2023-07-27,190.54867553710938
2023-07-28,193.12257385253906
2023-07-31,193.73397827148438
2023-08-01,192.90560913085938
2023-08-02,189.91749572753906
2023-08-03,188.5270233154297
2023-08-04,179.4739227294922
2023-08-07,176.37734985351562
2023-08-08,177.31422424316406
2023-08-09,175.72647094726562
2023-08-10,175.50950622558594
2023-08-11,175.56874084472656
2023-08-14,177.21792602539062
2023-08-15,175.2329864501953
2023-08-16,174.36398315429688
2023-08-17,171.82611083984375
2023-08-18,172.30995178222656
2023-08-21,173.64312744140625
2023-08-22,175.01571655273438
2023-08-23,178.8571319580078
2023-08-24,174.17637634277344
2023-08-25,176.37850952148438
2023-08-28,177.9387664794922
2023-08-29,181.8196563720703
2023-08-30,185.30555725097656
2023-08-31,185.52279663085938
2023-09-01,187.09292602539062
2023-09-05,187.32994079589844
2023-09-06,180.62478637695312
2023-09-07,175.34161376953125
2023-09-08,175.953857421875
2023-09-11,177.11912536621094
2023-09-12,174.0973663330078
2023-09-13,172.03347778320312
2023-09-14,173.5443572998047
2023-09-15,172.823486328125
2023-09-18,175.74647521972656
2023-09-19,176.832763671875
2023-09-20,173.2974853515625
2023-09-21,171.75697326660156
2023-09-22,172.606201171875
2023-09-25,173.8800811767578
2023-09-26,169.8115997314453
2023-09-27,168.3007049560547
2023-09-28,168.55746459960938
2023-09-29,169.0709686279297
2023-10-02,171.57920837402344
